Parameter,Value
dot_x,726
dot_y,483
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:11:56.815Z
group_id,capture-1757913116815-1757913116815
face_detected,True
pitch,-0.292
yaw,0.365
roll,0.03
face_min_position_x,500
face_min_position_y,271
face_max_position_x,700
face_max_position_y,534
left_eye_box_min_x,586
left_eye_box_min_y,366
left_eye_box_max_x,645
left_eye_box_max_y,392
right_eye_box_min_x,521
right_eye_box_min_y,373
right_eye_box_max_x,567
right_eye_box_max_y,392
left_iris_center_x,613
left_iris_center_y,377
right_iris_center_x,541
right_iris_center_y,380
left_iris_box_min_x,605
left_iris_box_min_y,368
left_iris_box_max_x,623
left_iris_box_max_y,387
right_iris_box_min_x,534
right_iris_box_min_y,371
right_iris_box_max_x,550
right_iris_box_max_y,389
left_eye_position_x,614
left_eye_position_y,379
right_eye_position_x,543
right_eye_position_y,382
center_between_eyes_x,578
center_between_eyes_y,380
left_eye_state,Open
left_eye_ear,0.295
right_eye_state,Open
right_eye_ear,0.28
distance_cm_from_face,73.2
distance_cm_from_eye,74.53
chin_depth,74.05
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T08:00:54.649809
