Parameter,Value
dot_x,434
dot_y,530
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-11T18:09:25.803Z
group_id,capture-1757614165803-1757614165803
capture_method,html2canvas
face_detected,True
pitch,-0.204
yaw,-0.088
roll,0.016
face_min_position_x,186
face_min_position_y,118
face_max_position_x,324
face_max_position_y,292
left_eye_box_min_x,264
left_eye_box_min_y,181
left_eye_box_max_x,305
left_eye_box_max_y,202
right_eye_box_min_x,214
right_eye_box_min_y,182
right_eye_box_max_x,253
right_eye_box_max_y,201
left_iris_center_x,284
left_iris_center_y,190
right_iris_center_x,233
right_iris_center_y,190
left_iris_box_min_x,277
left_iris_box_min_y,184
left_iris_box_max_x,291
left_iris_box_max_y,197
right_iris_box_min_x,226
right_iris_box_min_y,184
right_iris_box_max_x,240
right_iris_box_max_y,197
left_eye_position_x,284
left_eye_position_y,191
right_eye_position_x,233
right_eye_position_y,191
center_between_eyes_x,258
center_between_eyes_y,191
left_eye_state,Open
left_eye_ear,0.289
right_eye_state,Open
right_eye_ear,0.322
distance_cm_from_face,52.36
distance_cm_from_eye,54.37
chin_depth,52.98
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:35:48.824195
