Parameter,Value
dot_x,1064
dot_y,84
canvas_width,1621
canvas_height,726
window_width,1637
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:34:12.286Z
group_id,capture-1758000851705
face_detected,True
pitch,-0.041
yaw,0.13
roll,0.171
face_min_position_x,242
face_min_position_y,104
face_max_position_x,395
face_max_position_y,291
left_eye_box_min_x,316
left_eye_box_min_y,160
left_eye_box_max_x,358
left_eye_box_max_y,184
right_eye_box_min_x,264
right_eye_box_min_y,172
right_eye_box_max_x,300
right_eye_box_max_y,191
left_iris_center_x,336
left_iris_center_y,170
right_iris_center_x,282
right_iris_center_y,180
left_iris_box_min_x,329
left_iris_box_min_y,164
left_iris_box_max_x,343
left_iris_box_max_y,177
right_iris_box_min_x,276
right_iris_box_min_y,174
right_iris_box_max_x,289
right_iris_box_max_y,187
left_eye_position_x,336
left_eye_position_y,172
right_eye_position_x,281
right_eye_position_y,182
center_between_eyes_x,308
center_between_eyes_y,177
left_eye_state,Open
left_eye_ear,0.318
right_eye_state,Open
right_eye_ear,0.281
distance_cm_from_face,49.54
distance_cm_from_eye,50.775
chin_depth,50.31
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T06:20:49.135096
