Parameter,Value
dot_x,1119
dot_y,287
canvas_width,1487
canvas_height,932
window_width,1487
window_height,932
webcam_resolution_width,1920
webcam_resolution_height,1080
timestamp,2025-10-28T11:45:22.745Z
group_id,capture-1761651922745-1761651922745
face_detected,True
pitch,0.215
yaw,-0.084
roll,-0.028
face_min_position_x,0
face_min_position_y,24
face_max_position_x,1464
face_max_position_y,1688
left_eye_box_min_x,923
left_eye_box_min_y,539
left_eye_box_max_x,1194
left_eye_box_max_y,613
right_eye_box_min_x,367
right_eye_box_min_y,513
right_eye_box_max_x,651
right_eye_box_max_y,586
left_iris_center_x,1051
left_iris_center_y,574
right_iris_center_x,522
right_iris_center_y,549
left_iris_box_min_x,999
left_iris_box_min_y,529
left_iris_box_max_x,1104
left_iris_box_max_y,621
right_iris_box_min_x,469
right_iris_box_min_y,503
right_iris_box_max_x,576
right_iris_box_max_y,597
left_eye_position_x,1060
left_eye_position_y,581
right_eye_position_x,509
right_eye_position_y,554
center_between_eyes_x,784
center_between_eyes_y,567
left_eye_state,Open
left_eye_ear,0.264
right_eye_state,Squinting
right_eye_ear,0.234
distance_cm_from_face,30.0
distance_cm_from_eye,33.33
chin_depth,31.38
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-10-30T15:21:11.788930
