Parameter,Value
dot_x,726
dot_y,483
canvas_width,1636
canvas_height,846
window_width,1636
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
webcam_resolution_width_1,1280
webcam_resolution_height_1,720
timestamp,2025-09-15T05:11:56.815Z
group_id,capture-1757913116815-1757913116815
face_detected,True
pitch,-0.641
yaw,0.328
roll,0.006
face_min_position_x,5
face_min_position_y,131
face_max_position_x,800
face_max_position_y,1014
left_eye_box_min_x,381
left_eye_box_min_y,406
left_eye_box_max_x,548
left_eye_box_max_y,457
right_eye_box_min_x,119
right_eye_box_min_y,428
right_eye_box_max_x,249
right_eye_box_max_y,465
left_iris_center_x,458
left_iris_center_y,426
right_iris_center_x,182
right_iris_center_y,442
left_iris_box_min_x,430
left_iris_box_min_y,401
left_iris_box_max_x,487
left_iris_box_max_y,453
right_iris_box_min_x,158
right_iris_box_min_y,419
right_iris_box_max_x,207
right_iris_box_max_y,467
left_eye_position_x,459
left_eye_position_y,432
right_eye_position_x,185
right_eye_position_y,447
center_between_eyes_x,322
center_between_eyes_y,439
left_eye_state,Open
left_eye_ear,0.28
right_eye_state,Open
right_eye_ear,0.3
distance_cm_from_face,30.0
distance_cm_from_eye,33.11
chin_depth,30.89
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T09:09:08.292496
