Parameter,Value
dot_x,186
dot_y,423
canvas_width,1547
canvas_height,846
window_width,1547
window_height,846
webcam_resolution_width,1280
webcam_resolution_height,720
timestamp,2025-09-11T17:51:02.031Z
group_id,capture-1757613062031-1757613062031
capture_method,html2canvas
face_detected,True
pitch,0.038
yaw,-0.49
roll,0.102
face_min_position_x,86
face_min_position_y,0
face_max_position_x,999
face_max_position_y,720
left_eye_box_min_x,741
left_eye_box_min_y,239
left_eye_box_max_x,874
left_eye_box_max_y,282
right_eye_box_min_x,401
right_eye_box_min_y,262
right_eye_box_max_x,601
right_eye_box_max_y,303
left_iris_center_x,817
left_iris_center_y,259
right_iris_center_x,513
right_iris_center_y,280
left_iris_box_min_x,790
left_iris_box_min_y,241
left_iris_box_max_x,844
left_iris_box_max_y,278
right_iris_box_min_x,480
right_iris_box_min_y,259
right_iris_box_max_x,546
right_iris_box_max_y,302
left_eye_position_x,811
left_eye_position_y,261
right_eye_position_x,506
right_eye_position_y,284
center_between_eyes_x,658
center_between_eyes_y,272
left_eye_state,Open
left_eye_ear,0.265
right_eye_state,Closed
right_eye_ear,0.214
distance_cm_from_face,30.0
distance_cm_from_eye,32.15
chin_depth,31.3
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-15T18:14:50.100596
