Parameter,Value
dot_x,1179
dot_y,37
canvas_width,1621
canvas_height,726
window_width,1637
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:57:12.933Z
group_id,capture-1758002232379
face_detected,True
pitch,-0.274
yaw,0.162
roll,0.07
face_min_position_x,5
face_min_position_y,2
face_max_position_x,638
face_max_position_y,480
left_eye_box_min_x,331
left_eye_box_min_y,159
left_eye_box_max_x,467
left_eye_box_max_y,196
right_eye_box_min_x,111
right_eye_box_min_y,179
right_eye_box_max_x,226
right_eye_box_max_y,211
left_iris_center_x,397
left_iris_center_y,173
right_iris_center_x,168
right_iris_center_y,191
left_iris_box_min_x,372
left_iris_box_min_y,158
left_iris_box_max_x,422
left_iris_box_max_y,189
right_iris_box_min_x,144
right_iris_box_min_y,176
right_iris_box_max_x,192
right_iris_box_max_y,208
left_eye_position_x,398
left_eye_position_y,177
right_eye_position_x,167
right_eye_position_y,195
center_between_eyes_x,282
center_between_eyes_y,186
left_eye_state,Squinting
left_eye_ear,0.218
right_eye_state,Open
right_eye_ear,0.257
distance_cm_from_face,30.0
distance_cm_from_eye,33.21
chin_depth,31.22
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T07:26:45.159400
