Parameter,Value
dot_x,1521
dot_y,500
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:05.492Z
group_id,capture-1744860245132
pitch,-0.08
yaw,0.07
roll,0
face_min_position_x,2
face_min_position_y,61
face_max_position_x,544
face_max_position_y,702
left_eye_position_x,360
left_eye_position_y,274
right_eye_position_x,154
right_eye_position_y,272
center_between_eyes_x,257
center_between_eyes_y,273
left_eye_box_min_x,300
left_eye_box_min_y,251
left_eye_box_max_x,421
left_eye_box_max_y,292
right_eye_box_min_x,101
right_eye_box_min_y,252
right_eye_box_max_x,210
right_eye_box_max_y,288
left_iris_center_x,354
left_iris_center_y,271
right_iris_center_x,152
right_iris_center_y,268
left_iris_min_x,333
left_iris_min_y,252
left_iris_max_x,377
left_iris_max_y,291
right_iris_min_x,131
right_iris_min_y,249
right_iris_max_x,174
right_iris_max_y,289
left_eye_state,Open
left_eye_ear,0.269
right_eye_state,Open
right_eye_ear,0.292
distance_cm_from_face,30
distance_cm_from_eye,33.38
chin_depth,31.2
posture,Looking Straight
gaze_direction,Looking Straight
